Jurisdiction,AccountNumber,ClientProfile,HandleRange,Grouping,SpendAllocation,GlobalID,FB
USCO,1045599783,Retail C Grade,Big Bettor,Control,0,1045599783,0
USCO,1081015934,General/New Client,Big Bettor,Control,0,1081015934,0
USCO,1118083376,Retail B Grade,Big Bettor,Control,0,1118083376,0
USCO,1120608886,Retail B Grade,Medium Bettor,Control,0,1120608886,0
USCO,1224272081,General/New Client,Small Bettor,Control,0,1224272081,0
USCO,1226392251,General/New Client,Big Bettor,Control,0,1226392251,0
USCO,1271124505,Retail C Grade,Medium Bettor,Control,0,1271124505,0
USCO,1291151818,Retail C Grade,Small Bettor,Control,0,1291151818,0
USCO,1380023317,General/New Client,Medium Bettor,Control,0,1380023317,0
USCO,1407394007,Retail B Grade,Small Bettor,Control,0,1407394007,0
USCO,1447407584,Retail C Grade,Small Bettor,Control,0,1447407584,0
USCO,1483147157,Retail C Grade,Small Bettor,Control,0,1483147157,0
USCO,1645486407,General/New Client,Big Bettor,Control,0,1645486407,0
USCO,1705125623,Retail A Grade,Medium Bettor,Control,0,1705125623,0
USCO,1827949823,Retail C Grade,Small Bettor,Control,0,1827949823,0
USCO,1855401439,Retail C Grade,Medium Bettor,Control,0,1855401439,0
USCO,1873315231,General/New Client,Medium Bettor,Control,0,1873315231,0
USCO,1964340477,General/New Client,Medium Bettor,Control,0,1964340477,0
USCO,1993223190,General/New Client,Big Bettor,Control,0,1993223190,0
USCO,2031144684,Retail B Grade,Big Bettor,Control,0,2031144684,0
USCO,2086213667,Retail C Grade,Big Bettor,Control,0,2086213667,0
USCO,2097712902,Retail C Grade,Small Bettor,Control,0,2097712902,0
USCO,2113185993,Retail A Grade,Big Bettor,Control,0,2113185993,0
USCO,2179719966,Retail C Grade,Big Bettor,Control,0,2179719966,0
USCO,2237105649,General/New Client,Big Bettor,Control,0,2237105649,0
USCO,2267005651,Retail C Grade,Big Bettor,Control,0,2267005651,0
USCO,2300111140,General/New Client,Small Bettor,Control,0,2300111140,0
USCO,2324295794,General/New Client,Big Bettor,Control,0,2324295794,0
USCO,2346114961,General/New Client,Small Bettor,Control,0,2346114961,0
USCO,2354130612,Retail A Grade,Big Bettor,Control,0,2354130612,0
USCO,2369163621,General/New Client,Medium Bettor,Control,0,2369163621,0
USCO,2431257502,Retail C Grade,Big Bettor,Control,0,2431257502,0
USCO,2455149582,Retail C Grade,Big Bettor,Control,0,2455149582,0
USCO,2463907267,Retail B Grade,Big Bettor,Control,0,2463907267,0
USCO,2466873847,General/New Client,Small Bettor,Control,0,2466873847,0
USCO,2494121969,General/New Client,Medium Bettor,Control,0,2494121969,0
USCO,2550557421,General/New Client,Medium Bettor,Control,0,2550557421,0
USCO,2772212586,Retail C Grade,Small Bettor,Control,0,2772212586,0
USCO,2810816726,Retail C Grade,Big Bettor,Control,0,2810816726,0
USCO,2828607409,Retail C Grade,Big Bettor,Control,0,2828607409,0
USCO,2842441081,Retail C Grade,Big Bettor,Control,0,2842441081,0
USCO,2994188124,Retail C Grade,Medium Bettor,Control,0,2994188124,0
USCO,3006467695,Retail C Grade,Small Bettor,Control,0,3006467695,0
USCO,3020877060,Retail B Grade,Big Bettor,Control,0,3020877060,0
USCO,3059492343,Retail C Grade,Small Bettor,Control,0,3059492343,0
